Date_[A_Ch.1_Main]	Time_[A_Ch.1_Main]	_dt_(s)_[A_Ch.1_Main]	Oxygen_(%O2)_[A_Ch.1_Main]	dphi_(°)_[A_Ch.1_Main]	Signal_Intensity_(mV)_[A_Ch.1_Main]	Ambient_Light_(mV)_[A_Ch.1_Main]	Status_[A_Ch.1_Main]	Date_[A_Ch.1_CompT]	Time_[A_Ch.1_CompT]	_dt_(s)_[A_Ch.1_CompT]	Sample_Temp._(°C)_[A_Ch.1_CompT]	Status_[A_Ch.1_CompT]	Date_[A_Ch.1_CompP]	Time_[A_Ch.1_CompP]	_dt_(s)_[A_Ch.1_CompP]	Pressure_(mbar)_[A_Ch.1_CompP]	Status_[A_Ch.1_CompP]	Date_[A_Ch.2_Main]	Time_[A_Ch.2_Main]	_dt_(s)_[A_Ch.2_Main]	Optical_Temp._(°C)_[A_Ch.2_Main]	dphi_(°)_[A_Ch.2_Main]	Signal_Intensity_(mV)_[A_Ch.2_Main]	Ambient_Light_(mV)_[A_Ch.2_Main]	Status_[A_Ch.2_Main]	Date_[A_Ch.3_Main]	Time_[A_Ch.3_Main]	_dt_(s)_[A_Ch.3_Main]	Oxygen_(%O2)_[A_Ch.3_Main]	dphi_(°)_[A_Ch.3_Main]	Signal_Intensity_(mV)_[A_Ch.3_Main]	Ambient_Light_(mV)_[A_Ch.3_Main]	Status_[A_Ch.3_Main]	Date_[A_Ch.3_CompT]	Time_[A_Ch.3_CompT]	_dt_(s)_[A_Ch.3_CompT]	Sample_Temp._(°C)_[A_Ch.3_CompT]	Status_[A_Ch.3_CompT]	Date_[A_Ch.3_CompP]	Time_[A_Ch.3_CompP]	_dt_(s)_[A_Ch.3_CompP]	Pressure_(mbar)_[A_Ch.3_CompP]	Status_[A_Ch.3_CompP]	Date_[A_Ch.4_Main]	Time_[A_Ch.4_Main]	_dt_(s)_[A_Ch.4_Main]	Optical_Temp._(°C)_[A_Ch.4_Main]	dphi_(°)_[A_Ch.4_Main]	Signal_Intensity_(mV)_[A_Ch.4_Main]	Ambient_Light_(mV)_[A_Ch.4_Main]	Status_[A_Ch.4_Main]	Date_[A_T1]	Time_[A_T1]	_dt_(s)_[A_T1]	Sample_Temp._(°C)_[A_T1]	Status_[A_T1]	Date_[Comment]	Time_[Comment]	Comment
17/08/2023	09:49:26.518	0.588	19.333	23.023	180	7	OK	17/08/2023	09:49:26.518	0.588	15.051	OK	17/08/2023	09:49:26.518	0.588	1014	OK	17/08/2023	09:49:25.781	-0.15	15.903	43.665	203	5	OK	17/08/2023	09:49:26.415	0.484	20.349	22.594	162	14	OK	17/08/2023	09:49:26.415	0.484	15.051	OK	17/08/2023	09:49:26.415	0.484	1014	OK	17/08/2023	09:49:26.024	0.094	15.192	44.596	65	13	OK	17/08/2023	09:49:26.001	0.07	15.051	OK			
17/08/2023	09:49:27.473	1.542	19.341	23.017	180	7	OK	17/08/2023	09:49:27.473	1.542	15.054	OK	17/08/2023	09:49:27.473	1.542	1014	OK	17/08/2023	09:49:26.219	0.289	15.893	43.667	203	5	OK	17/08/2023	09:49:27.373	1.442	20.348	22.595	162	14	OK	17/08/2023	09:49:27.373	1.442	15.052	OK	17/08/2023	09:49:27.373	1.442	1014	OK	17/08/2023	09:49:26.959	1.029	15.237	44.586	65	13	OK	17/08/2023	09:49:26.945	1.014	15.051	OK			
17/08/2023	09:49:28.473	2.542	19.344	23.015	180	7	OK	17/08/2023	09:49:28.473	2.542	15.062	OK	17/08/2023	09:49:28.473	2.542	1014	OK	17/08/2023	09:49:27.154	1.223	15.898	43.666	203	5	OK	17/08/2023	09:49:28.373	2.442	20.354	22.59	162	14	OK	17/08/2023	09:49:28.373	2.442	15.06	OK	17/08/2023	09:49:28.373	2.442	1014	OK	17/08/2023	09:49:27.961	2.03	15.187	44.597	65	13	OK	17/08/2023	09:49:27.946	2.015	15.056	OK			
17/08/2023	09:49:29.477	3.546	19.312	23.033	180	7	OK	17/08/2023	09:49:29.477	3.546	15.071	OK	17/08/2023	09:49:29.477	3.546	1014	OK	17/08/2023	09:49:28.156	2.225	15.912	43.663	203	5	OK	17/08/2023	09:49:29.374	3.443	20.348	22.592	162	14	OK	17/08/2023	09:49:29.374	3.443	15.069	OK	17/08/2023	09:49:29.374	3.443	1014	OK	17/08/2023	09:49:28.963	3.032	15.205	44.593	65	13	OK	17/08/2023	09:49:28.946	3.015	15.066	OK			
17/08/2023	09:49:30.473	4.543	19.313	23.031	180	7	OK	17/08/2023	09:49:30.473	4.543	15.077	OK	17/08/2023	09:49:30.473	4.543	1014	OK	17/08/2023	09:49:29.159	3.228	15.889	43.668	203	5	OK	17/08/2023	09:49:30.374	4.443	20.349	22.591	162	14	OK	17/08/2023	09:49:30.374	4.443	15.077	OK	17/08/2023	09:49:30.374	4.443	1014	OK	17/08/2023	09:49:29.964	4.033	15.214	44.591	65	13	OK	17/08/2023	09:49:29.948	4.017	15.074	OK			
17/08/2023	09:49:31.474	5.543	19.325	23.024	180	7	OK	17/08/2023	09:49:31.474	5.543	15.08	OK	17/08/2023	09:49:31.474	5.543	1014	OK	17/08/2023	09:49:30.159	4.228	15.907	43.664	203	5	OK	17/08/2023	09:49:31.375	5.444	20.343	22.594	162	14	OK	17/08/2023	09:49:31.375	5.444	15.079	OK	17/08/2023	09:49:31.375	5.444	1014	OK	17/08/2023	09:49:30.964	5.034	15.223	44.589	65	13	OK	17/08/2023	09:49:30.947	5.017	15.079	OK			
17/08/2023	09:49:32.475	6.544	19.278	23.052	180	6	OK	17/08/2023	09:49:32.475	6.544	15.087	OK	17/08/2023	09:49:32.475	6.544	1014	OK	17/08/2023	09:49:31.161	5.23	15.917	43.662	203	5	OK	17/08/2023	09:49:32.376	6.445	20.35	22.589	162	14	OK	17/08/2023	09:49:32.376	6.445	15.086	OK	17/08/2023	09:49:32.376	6.445	1014	OK	17/08/2023	09:49:31.964	6.033	15.187	44.597	65	13	OK	17/08/2023	09:49:31.947	6.016	15.082	OK			
17/08/2023	09:49:33.477	7.547	19.285	23.047	180	7	OK	17/08/2023	09:49:33.477	7.547	15.093	OK	17/08/2023	09:49:33.477	7.547	1014	OK	17/08/2023	09:49:32.174	6.243	15.898	43.666	203	5	OK	17/08/2023	09:49:33.376	7.445	20.338	22.595	162	14	OK	17/08/2023	09:49:33.376	7.445	15.091	OK	17/08/2023	09:49:33.376	7.445	1014	OK	17/08/2023	09:49:32.964	7.034	15.21	44.592	65	13	OK	17/08/2023	09:49:32.948	7.017	15.09	OK			
17/08/2023	09:49:34.475	8.545	19.251	23.066	180	7	OK	17/08/2023	09:49:34.475	8.545	15.102	OK	17/08/2023	09:49:34.475	8.545	1014	OK	17/08/2023	09:49:33.174	7.243	15.903	43.665	203	5	OK	17/08/2023	09:49:34.375	8.444	20.324	22.603	162	14	OK	17/08/2023	09:49:34.375	8.444	15.099	OK	17/08/2023	09:49:34.375	8.444	1014	OK	17/08/2023	09:49:33.968	8.037	15.183	44.598	65	13	OK	17/08/2023	09:49:33.949	8.018	15.095	OK			
17/08/2023	09:49:35.475	9.544	19.262	23.059	181	7	OK	17/08/2023	09:49:35.475	9.544	15.11	OK	17/08/2023	09:49:35.475	9.544	1014	OK	17/08/2023	09:49:34.164	8.233	15.898	43.666	203	5	OK	17/08/2023	09:49:35.375	9.445	20.318	22.605	162	14	OK	17/08/2023	09:49:35.375	9.445	15.109	OK	17/08/2023	09:49:35.375	9.445	1014	OK	17/08/2023	09:49:34.966	9.035	15.228	44.588	65	13	OK	17/08/2023	09:49:34.949	9.018	15.106	OK			
17/08/2023	09:49:36.475	10.545	19.233	23.076	181	7	OK	17/08/2023	09:49:36.475	10.545	15.115	OK	17/08/2023	09:49:36.475	10.545	1014	OK	17/08/2023	09:49:35.163	9.233	15.893	43.667	203	5	OK	17/08/2023	09:49:36.375	10.445	20.323	22.602	162	14	OK	17/08/2023	09:49:36.375	10.445	15.115	OK	17/08/2023	09:49:36.375	10.445	1014	OK	17/08/2023	09:49:35.968	10.038	15.192	44.596	65	13	OK	17/08/2023	09:49:35.951	10.021	15.114	OK			
17/08/2023	09:49:37.493	11.562	19.215	23.086	181	6	OK	17/08/2023	09:49:37.493	11.562	15.121	OK	17/08/2023	09:49:37.493	11.562	1014	OK	17/08/2023	09:49:36.164	10.234	15.898	43.666	203	5	OK	17/08/2023	09:49:37.376	11.446	20.326	22.599	162	14	OK	17/08/2023	09:49:37.376	11.446	15.121	OK	17/08/2023	09:49:37.376	11.446	1014	OK	17/08/2023	09:49:36.968	11.037	15.214	44.591	65	13	OK	17/08/2023	09:49:36.951	11.021	15.119	OK			
17/08/2023	09:49:38.494	12.563	19.202	23.094	181	6	OK	17/08/2023	09:49:38.494	12.563	15.125	OK	17/08/2023	09:49:38.494	12.563	1014	OK	17/08/2023	09:49:37.163	11.232	15.907	43.664	203	5	OK	17/08/2023	09:49:38.376	12.446	20.321	22.601	162	14	OK	17/08/2023	09:49:38.376	12.446	15.125	OK	17/08/2023	09:49:38.376	12.446	1014	OK	17/08/2023	09:49:37.970	12.039	15.187	44.597	65	13	OK	17/08/2023	09:49:37.951	12.021	15.124	OK			
17/08/2023	09:49:39.478	13.547	19.2	23.095	181	6	OK	17/08/2023	09:49:39.478	13.547	15.125	OK	17/08/2023	09:49:39.478	13.547	1014	OK	17/08/2023	09:49:38.163	12.232	15.903	43.665	203	5	OK	17/08/2023	09:49:39.377	13.446	20.317	22.604	162	14	OK	17/08/2023	09:49:39.377	13.446	15.125	OK	17/08/2023	09:49:39.377	13.446	1014	OK	17/08/2023	09:49:38.950	13.02	15.201	44.594	65	13	OK	17/08/2023	09:49:39.147	13.217	15.126	OK			
17/08/2023	09:49:40.477	14.546	19.186	23.104	181	6	OK	17/08/2023	09:49:40.477	14.546	15.125	OK	17/08/2023	09:49:40.477	14.546	1014	OK	17/08/2023	09:49:39.164	13.234	15.889	43.668	203	5	OK	17/08/2023	09:49:40.378	14.447	20.326	22.599	162	14	OK	17/08/2023	09:49:40.378	14.447	15.125	OK	17/08/2023	09:49:40.378	14.447	1014	OK	17/08/2023	09:49:39.966	14.035	15.201	44.594	65	13	OK	17/08/2023	09:49:39.950	14.02	15.125	OK			
