Date_[A_Ch.1_Main]	Time_[A_Ch.1_Main]	_dt_(s)_[A_Ch.1_Main]	Oxygen_(%O2)_[A_Ch.1_Main]	dphi_(_)_[A_Ch.1_Main]	Signal_Intensity_(mV)_[A_Ch.1_Main]	Ambient_Light_(mV)_[A_Ch.1_Main]	Status_[A_Ch.1_Main]	Date_[A_Ch.1_CompT]	Time_[A_Ch.1_CompT]	_dt_(s)_[A_Ch.1_CompT]	Sample_Temp._(_C)_[A_Ch.1_CompT]	Status_[A_Ch.1_CompT]	Date_[A_Ch.1_CompP]	Time_[A_Ch.1_CompP]	_dt_(s)_[A_Ch.1_CompP]	Pressure_(mbar)_[A_Ch.1_CompP]	Status_[A_Ch.1_CompP]	Date_[A_Ch.2_Main]	Time_[A_Ch.2_Main]	_dt_(s)_[A_Ch.2_Main]	Optical_Temp._(_C)_[A_Ch.2_Main]	dphi_(_)_[A_Ch.2_Main]	Signal_Intensity_(mV)_[A_Ch.2_Main]	Ambient_Light_(mV)_[A_Ch.2_Main]	Status_[A_Ch.2_Main]	Date_[A_Ch.3_Main]	Time_[A_Ch.3_Main]	_dt_(s)_[A_Ch.3_Main]	Oxygen_(%O2)_[A_Ch.3_Main]	dphi_(_)_[A_Ch.3_Main]	Signal_Intensity_(mV)_[A_Ch.3_Main]	Ambient_Light_(mV)_[A_Ch.3_Main]	Status_[A_Ch.3_Main]	Date_[A_Ch.3_CompT]	Time_[A_Ch.3_CompT]	_dt_(s)_[A_Ch.3_CompT]	Sample_Temp._(_C)_[A_Ch.3_CompT]	Status_[A_Ch.3_CompT]	Date_[A_Ch.3_CompP]	Time_[A_Ch.3_CompP]	_dt_(s)_[A_Ch.3_CompP]	Pressure_(mbar)_[A_Ch.3_CompP]	Status_[A_Ch.3_CompP]	Date_[A_Ch.4_Main]	Time_[A_Ch.4_Main]	_dt_(s)_[A_Ch.4_Main]	Optical_Temp._(_C)_[A_Ch.4_Main]	dphi_(_)_[A_Ch.4_Main]	Signal_Intensity_(mV)_[A_Ch.4_Main]	Ambient_Light_(mV)_[A_Ch.4_Main]	Status_[A_Ch.4_Main]	Date_[A_T1]	Time_[A_T1]	_dt_(s)_[A_T1]	Sample_Temp._(_C)_[A_T1]	Status_[A_T1]	Date_[Comment]	Time_[Comment]	Comment
17/08/2023	10:16:05.892	0.613	19.431	22.843	181	9	OK	17/08/2023	10:16:05.892	0.613	16.025	OK	17/08/2023	10:16:05.892	0.613	1014	OK	17/08/2023	10:16:05.371	0.092	14.368	43.996	154	11	OK	17/08/2023	10:16:05.991	0.711	19.944	22.711	242	5	OK	17/08/2023	10:16:05.991	0.711	16.021	OK	17/08/2023	10:16:05.991	0.711	1014	OK	17/08/2023	10:16:05.177	-0.102	19.007	43.761	221	9	OK	17/08/2023	10:16:05.568	0.289	16.029	OK			
17/08/2023	10:16:06.891	1.611	19.418	22.854	181	10	OK	17/08/2023	10:16:06.891	1.611	16.004	OK	17/08/2023	10:16:06.891	1.611	1014	OK	17/08/2023	10:16:06.293	1.014	14.382	43.993	154	11	OK	17/08/2023	10:16:06.988	1.709	19.953	22.707	242	5	OK	17/08/2023	10:16:06.988	1.709	15.998	OK	17/08/2023	10:16:06.988	1.709	1014	OK	17/08/2023	10:16:05.586	0.306	19.04	43.754	221	9	OK	17/08/2023	10:16:06.490	1.211	16.013	OK			
17/08/2023	10:16:07.890	2.61	19.385	22.876	181	10	OK	17/08/2023	10:16:07.890	2.61	15.976	OK	17/08/2023	10:16:07.890	2.61	1014	OK	17/08/2023	10:16:07.295	2.016	14.396	43.99	154	11	OK	17/08/2023	10:16:07.987	2.708	19.95	22.713	242	5	OK	17/08/2023	10:16:07.987	2.708	15.971	OK	17/08/2023	10:16:07.987	2.708	1014	OK	17/08/2023	10:16:06.505	1.225	19.012	43.76	221	9	OK	17/08/2023	10:16:07.493	2.214	15.987	OK			
17/08/2023	10:16:08.891	3.612	19.312	22.924	182	10	OK	17/08/2023	10:16:08.891	3.612	15.953	OK	17/08/2023	10:16:08.891	3.612	1014	OK	17/08/2023	10:16:08.297	3.017	14.354	43.999	154	11	OK	17/08/2023	10:16:08.989	3.709	19.954	22.713	242	5	OK	17/08/2023	10:16:08.989	3.709	15.95	OK	17/08/2023	10:16:08.989	3.709	1014	OK	17/08/2023	10:16:07.508	2.228	19.035	43.755	221	9	OK	17/08/2023	10:16:08.495	3.215	15.963	OK			
17/08/2023	10:16:09.893	4.614	19.29	22.94	182	10	OK	17/08/2023	10:16:09.893	4.614	15.935	OK	17/08/2023	10:16:09.893	4.614	1014	OK	17/08/2023	10:16:09.297	4.017	14.382	43.993	154	11	OK	17/08/2023	10:16:09.992	4.713	19.966	22.709	242	5	OK	17/08/2023	10:16:09.992	4.713	15.932	OK	17/08/2023	10:16:09.992	4.713	1014	OK	17/08/2023	10:16:08.509	3.23	19.035	43.755	221	9	OK	17/08/2023	10:16:09.495	4.216	15.942	OK			
17/08/2023	10:16:10.893	5.614	19.255	22.962	182	10	OK	17/08/2023	10:16:10.893	5.614	15.923	OK	17/08/2023	10:16:10.893	5.614	1014	OK	17/08/2023	10:16:10.297	5.018	14.363	43.997	154	11	OK	17/08/2023	10:16:10.990	5.711	19.964	22.711	242	5	OK	17/08/2023	10:16:10.990	5.711	15.923	OK	17/08/2023	10:16:10.990	5.711	1014	OK	17/08/2023	10:16:09.511	4.232	19.031	43.756	221	9	OK	17/08/2023	10:16:10.494	5.215	15.927	OK			
17/08/2023	10:16:11.893	6.614	19.25	22.967	182	9	OK	17/08/2023	10:16:11.893	6.614	15.911	OK	17/08/2023	10:16:11.893	6.614	1014	OK	17/08/2023	10:16:11.297	6.018	14.373	43.995	154	11	OK	17/08/2023	10:16:11.990	6.711	19.959	22.716	242	5	OK	17/08/2023	10:16:11.990	6.711	15.911	OK	17/08/2023	10:16:11.990	6.711	1014	OK	17/08/2023	10:16:10.508	5.229	19.017	43.759	221	9	OK	17/08/2023	10:16:11.494	6.215	15.916	OK			
17/08/2023	10:16:12.895	7.616	19.239	22.975	182	11	OK	17/08/2023	10:16:12.895	7.616	15.898	OK	17/08/2023	10:16:12.895	7.616	1014	OK	17/08/2023	10:16:12.298	7.019	14.354	43.999	154	9	OK	17/08/2023	10:16:12.995	7.716	19.959	22.717	242	5	OK	17/08/2023	10:16:12.995	7.716	15.898	OK	17/08/2023	10:16:12.995	7.716	1014	OK	17/08/2023	10:16:11.508	6.229	19.031	43.756	221	9	OK	17/08/2023	10:16:12.494	7.214	15.904	OK			
17/08/2023	10:16:13.895	8.615	19.223	22.987	182	11	OK	17/08/2023	10:16:13.895	8.615	15.881	OK	17/08/2023	10:16:13.895	8.615	1014	OK	17/08/2023	10:16:13.297	8.018	14.377	43.994	154	7	OK	17/08/2023	10:16:13.991	8.712	19.973	22.711	242	5	OK	17/08/2023	10:16:13.991	8.712	15.881	OK	17/08/2023	10:16:13.991	8.712	1014	OK	17/08/2023	10:16:12.507	7.227	19.049	43.752	221	8	OK	17/08/2023	10:16:13.495	8.215	15.887	OK			
17/08/2023	10:16:14.895	9.616	19.207	22.999	182	10	OK	17/08/2023	10:16:14.895	9.616	15.862	OK	17/08/2023	10:16:14.895	9.616	1014	OK	17/08/2023	10:16:14.297	9.018	14.359	43.998	154	7	OK	17/08/2023	10:16:14.992	9.713	19.962	22.719	242	5	OK	17/08/2023	10:16:14.992	9.713	15.862	OK	17/08/2023	10:16:14.992	9.713	1014	OK	17/08/2023	10:16:13.510	8.231	19.012	43.76	221	9	OK	17/08/2023	10:16:14.492	9.213	15.87	OK			
17/08/2023	10:16:15.895	10.615	19.198	23.007	182	9	OK	17/08/2023	10:16:15.895	10.615	15.847	OK	17/08/2023	10:16:15.895	10.615	1014	OK	17/08/2023	10:16:15.296	10.017	14.35	44	154	9	OK	17/08/2023	10:16:15.991	10.712	19.988	22.706	242	5	OK	17/08/2023	10:16:15.991	10.712	15.847	OK	17/08/2023	10:16:15.991	10.712	1014	OK	17/08/2023	10:16:14.506	9.227	19.054	43.751	221	9	OK	17/08/2023	10:16:15.492	10.212	15.852	OK			
17/08/2023	10:16:16.897	11.617	19.202	23.005	183	10	OK	17/08/2023	10:16:16.897	11.617	15.837	OK	17/08/2023	10:16:16.897	11.617	1014	OK	17/08/2023	10:16:16.296	11.017	14.34	44.002	154	11	OK	17/08/2023	10:16:16.996	11.716	19.975	22.715	242	5	OK	17/08/2023	10:16:16.996	11.716	15.837	OK	17/08/2023	10:16:16.996	11.716	1014	OK	17/08/2023	10:16:15.506	10.227	19.035	43.755	221	9	OK	17/08/2023	10:16:16.494	11.215	15.84	OK			
17/08/2023	10:16:17.898	12.619	19.184	23.017	183	10	OK	17/08/2023	10:16:17.898	12.619	15.828	OK	17/08/2023	10:16:17.898	12.619	1014	OK	17/08/2023	10:16:17.296	12.016	14.35	44	154	11	OK	17/08/2023	10:16:17.996	12.717	19.979	22.714	242	5	OK	17/08/2023	10:16:17.996	12.717	15.828	OK	17/08/2023	10:16:17.996	12.717	1014	OK	17/08/2023	10:16:16.507	11.228	19.045	43.753	221	9	OK	17/08/2023	10:16:17.494	12.214	15.831	OK			
