Date_[A_Ch.1_Main]	Time_[A_Ch.1_Main]	_dt_(s)_[A_Ch.1_Main]	Oxygen_(%O2)_[A_Ch.1_Main]	dphi_(°)_[A_Ch.1_Main]	Signal_Intensity_(mV)_[A_Ch.1_Main]	Ambient_Light_(mV)_[A_Ch.1_Main]	Status_[A_Ch.1_Main]	Date_[A_Ch.1_CompT]	Time_[A_Ch.1_CompT]	_dt_(s)_[A_Ch.1_CompT]	Sample_Temp._(°C)_[A_Ch.1_CompT]	Status_[A_Ch.1_CompT]	Date_[A_Ch.1_CompP]	Time_[A_Ch.1_CompP]	_dt_(s)_[A_Ch.1_CompP]	Pressure_(mbar)_[A_Ch.1_CompP]	Status_[A_Ch.1_CompP]	Date_[A_Ch.2_Main]	Time_[A_Ch.2_Main]	_dt_(s)_[A_Ch.2_Main]	Optical_Temp._(°C)_[A_Ch.2_Main]	dphi_(°)_[A_Ch.2_Main]	Signal_Intensity_(mV)_[A_Ch.2_Main]	Ambient_Light_(mV)_[A_Ch.2_Main]	Status_[A_Ch.2_Main]	Date_[A_Ch.3_Main]	Time_[A_Ch.3_Main]	_dt_(s)_[A_Ch.3_Main]	Oxygen_(%O2)_[A_Ch.3_Main]	dphi_(°)_[A_Ch.3_Main]	Signal_Intensity_(mV)_[A_Ch.3_Main]	Ambient_Light_(mV)_[A_Ch.3_Main]	Status_[A_Ch.3_Main]	Date_[A_Ch.3_CompT]	Time_[A_Ch.3_CompT]	_dt_(s)_[A_Ch.3_CompT]	Sample_Temp._(°C)_[A_Ch.3_CompT]	Status_[A_Ch.3_CompT]	Date_[A_Ch.3_CompP]	Time_[A_Ch.3_CompP]	_dt_(s)_[A_Ch.3_CompP]	Pressure_(mbar)_[A_Ch.3_CompP]	Status_[A_Ch.3_CompP]	Date_[A_Ch.4_Main]	Time_[A_Ch.4_Main]	_dt_(s)_[A_Ch.4_Main]	Optical_Temp._(°C)_[A_Ch.4_Main]	dphi_(°)_[A_Ch.4_Main]	Signal_Intensity_(mV)_[A_Ch.4_Main]	Ambient_Light_(mV)_[A_Ch.4_Main]	Status_[A_Ch.4_Main]	Date_[A_T1]	Time_[A_T1]	_dt_(s)_[A_T1]	Sample_Temp._(°C)_[A_T1]	Status_[A_T1]	Date_[Comment]	Time_[Comment]	Comment
17/08/2023	10:39:16.561	0.146	19.196	23.067	189	1	OK	17/08/2023	10:39:16.561	0.146	15.375	OK	17/08/2023	10:39:16.561	0.146	1014	OK	17/08/2023	10:39:16.363	-0.051	14.515	43.964	165	1	OK	17/08/2023	10:39:17.195	0.78	20.101	22.7	319	1	OK	17/08/2023	10:39:17.195	0.78	15.368	OK	17/08/2023	10:39:17.195	0.78	1014	OK	17/08/2023	10:39:16.669	0.255	18.386	43.895	210	1	OK	17/08/2023	10:39:16.654	0.239	15.375	OK			
17/08/2023	10:39:17.278	0.863	19.191	23.07	189	1	OK	17/08/2023	10:39:17.278	0.863	15.368	OK	17/08/2023	10:39:17.278	0.863	1014	OK	17/08/2023	10:39:16.864	0.449	14.538	43.959	165	1	OK	17/08/2023	10:39:18.195	1.781	20.109	22.696	319	1	OK	17/08/2023	10:39:18.195	1.781	15.362	OK	17/08/2023	10:39:18.195	1.781	1014	OK	17/08/2023	10:39:17.444	1.03	18.368	43.899	210	1	OK	17/08/2023	10:39:17.430	1.015	15.366	OK			
17/08/2023	10:39:18.278	1.864	19.195	23.069	189	1	OK	17/08/2023	10:39:18.278	1.864	15.362	OK	17/08/2023	10:39:18.278	1.864	1014	OK	17/08/2023	10:39:17.640	1.225	14.497	43.968	165	1	OK	17/08/2023	10:39:19.195	2.78	20.102	22.7	319	1	OK	17/08/2023	10:39:19.195	2.78	15.361	OK	17/08/2023	10:39:19.195	2.78	1014	OK	17/08/2023	10:39:18.443	2.028	18.358	43.901	210	1	OK	17/08/2023	10:39:18.430	2.015	15.361	OK			
17/08/2023	10:39:19.277	2.863	19.176	23.082	189	1	OK	17/08/2023	10:39:19.277	2.863	15.361	OK	17/08/2023	10:39:19.277	2.863	1014	OK	17/08/2023	10:39:18.638	2.224	14.52	43.963	165	1	OK	17/08/2023	10:39:20.194	3.779	20.108	22.696	319	1	OK	17/08/2023	10:39:20.194	3.779	15.362	OK	17/08/2023	10:39:20.194	3.779	1014	OK	17/08/2023	10:39:19.446	3.031	18.377	43.897	209	1	OK	17/08/2023	10:39:19.429	3.015	15.361	OK			
17/08/2023	10:39:20.277	3.862	19.179	23.079	189	1	OK	17/08/2023	10:39:20.277	3.862	15.362	OK	17/08/2023	10:39:20.277	3.862	1014	OK	17/08/2023	10:39:19.659	3.244	14.529	43.961	165	1	OK	17/08/2023	10:39:21.195	4.78	20.103	22.699	319	1	OK	17/08/2023	10:39:21.195	4.78	15.362	OK	17/08/2023	10:39:21.195	4.78	1014	OK	17/08/2023	10:39:20.445	4.031	18.377	43.897	209	1	OK	17/08/2023	10:39:20.429	4.015	15.361	OK			
17/08/2023	10:39:21.280	4.865	19.156	23.093	189	1	OK	17/08/2023	10:39:21.280	4.865	15.362	OK	17/08/2023	10:39:21.280	4.865	1014	OK	17/08/2023	10:39:20.643	4.228	14.538	43.959	165	1	OK	17/08/2023	10:39:22.195	5.78	20.115	22.693	319	1	OK	17/08/2023	10:39:22.195	5.78	15.359	OK	17/08/2023	10:39:22.195	5.78	1014	OK	17/08/2023	10:39:21.445	5.031	18.377	43.897	209	1	OK	17/08/2023	10:39:21.428	5.014	15.362	OK			
17/08/2023	10:39:22.277	5.862	19.164	23.089	189	1	OK	17/08/2023	10:39:22.277	5.862	15.359	OK	17/08/2023	10:39:22.277	5.862	1014	OK	17/08/2023	10:39:21.642	5.227	14.529	43.961	165	1	OK	17/08/2023	10:39:23.195	6.78	20.099	22.703	319	1	OK	17/08/2023	10:39:23.195	6.78	15.352	OK	17/08/2023	10:39:23.195	6.78	1014	OK	17/08/2023	10:39:22.442	6.028	18.386	43.895	209	1	OK	17/08/2023	10:39:22.428	6.014	15.358	OK			
17/08/2023	10:39:23.277	6.863	19.147	23.1	189	1	OK	17/08/2023	10:39:23.277	6.863	15.35	OK	17/08/2023	10:39:23.277	6.863	1014	OK	17/08/2023	10:39:22.638	6.224	14.502	43.967	165	1	OK	17/08/2023	10:39:24.195	7.78	20.113	22.696	319	1	OK	17/08/2023	10:39:24.195	7.78	15.337	OK	17/08/2023	10:39:24.195	7.78	1014	OK	17/08/2023	10:39:23.445	7.03	18.386	43.895	209	1	OK	17/08/2023	10:39:23.429	7.015	15.347	OK			
17/08/2023	10:39:24.278	7.864	19.158	23.096	189	1	OK	17/08/2023	10:39:24.278	7.864	15.333	OK	17/08/2023	10:39:24.278	7.864	1014	OK	17/08/2023	10:39:23.640	7.226	14.502	43.967	165	1	OK	17/08/2023	10:39:25.196	8.782	20.115	22.697	319	1	OK	17/08/2023	10:39:25.196	8.782	15.321	OK	17/08/2023	10:39:25.196	8.782	1014	OK	17/08/2023	10:39:24.447	8.032	18.395	43.893	209	1	OK	17/08/2023	10:39:24.430	8.016	15.333	OK			
17/08/2023	10:39:25.277	8.863	19.166	23.093	189	1	OK	17/08/2023	10:39:25.277	8.863	15.318	OK	17/08/2023	10:39:25.277	8.863	1014	OK	17/08/2023	10:39:24.644	8.23	14.515	43.964	165	1	OK	17/08/2023	10:39:26.194	9.78	20.132	22.689	319	1	OK	17/08/2023	10:39:26.194	9.78	15.307	OK	17/08/2023	10:39:26.194	9.78	1014	OK	17/08/2023	10:39:25.448	9.034	18.372	43.898	209	1	OK	17/08/2023	10:39:25.431	9.016	15.318	OK			
