Date_[A_Ch.1_Main]	Time_[A_Ch.1_Main]	_dt_(s)_[A_Ch.1_Main]	Oxygen_(%O2)_[A_Ch.1_Main]	dphi_(_)_[A_Ch.1_Main]	Signal_Intensity_(mV)_[A_Ch.1_Main]	Ambient_Light_(mV)_[A_Ch.1_Main]	Status_[A_Ch.1_Main]	Date_[A_Ch.1_CompT]	Time_[A_Ch.1_CompT]	_dt_(s)_[A_Ch.1_CompT]	Sample_Temp._(_C)_[A_Ch.1_CompT]	Status_[A_Ch.1_CompT]	Date_[A_Ch.1_CompP]	Time_[A_Ch.1_CompP]	_dt_(s)_[A_Ch.1_CompP]	Pressure_(mbar)_[A_Ch.1_CompP]	Status_[A_Ch.1_CompP]	Date_[A_Ch.2_Main]	Time_[A_Ch.2_Main]	_dt_(s)_[A_Ch.2_Main]	Optical_Temp._(_C)_[A_Ch.2_Main]	dphi_(_)_[A_Ch.2_Main]	Signal_Intensity_(mV)_[A_Ch.2_Main]	Ambient_Light_(mV)_[A_Ch.2_Main]	Status_[A_Ch.2_Main]	Date_[A_Ch.3_Main]	Time_[A_Ch.3_Main]	_dt_(s)_[A_Ch.3_Main]	Oxygen_(%O2)_[A_Ch.3_Main]	dphi_(_)_[A_Ch.3_Main]	Signal_Intensity_(mV)_[A_Ch.3_Main]	Ambient_Light_(mV)_[A_Ch.3_Main]	Status_[A_Ch.3_Main]	Date_[A_Ch.3_CompT]	Time_[A_Ch.3_CompT]	_dt_(s)_[A_Ch.3_CompT]	Sample_Temp._(_C)_[A_Ch.3_CompT]	Status_[A_Ch.3_CompT]	Date_[A_Ch.3_CompP]	Time_[A_Ch.3_CompP]	_dt_(s)_[A_Ch.3_CompP]	Pressure_(mbar)_[A_Ch.3_CompP]	Status_[A_Ch.3_CompP]	Date_[A_Ch.4_Main]	Time_[A_Ch.4_Main]	_dt_(s)_[A_Ch.4_Main]	Optical_Temp._(_C)_[A_Ch.4_Main]	dphi_(_)_[A_Ch.4_Main]	Signal_Intensity_(mV)_[A_Ch.4_Main]	Ambient_Light_(mV)_[A_Ch.4_Main]	Status_[A_Ch.4_Main]	Date_[A_T1]	Time_[A_T1]	_dt_(s)_[A_T1]	Sample_Temp._(_C)_[A_T1]	Status_[A_T1]	Date_[Comment]	Time_[Comment]	Comment
17/08/2023	11:06:20.500	0.507	19.889	22.589	236	1	OK	17/08/2023	11:06:20.500	0.507	15.891	OK	17/08/2023	11:06:20.500	0.507	1014	OK	17/08/2023	11:06:20.010	0.017	15.842	43.678	195	1	OK	17/08/2023	11:06:20.590	0.597	20.092	22.643	221	2	OK	17/08/2023	11:06:20.590	0.597	15.889	OK	17/08/2023	11:06:20.590	0.597	1014	OK	17/08/2023	11:06:20.221	0.228	19.049	43.752	190	1	OK	17/08/2023	11:06:20.206	0.213	15.891	OK			
17/08/2023	11:06:21.500	1.507	19.911	22.577	236	1	OK	17/08/2023	11:06:21.500	1.507	15.886	OK	17/08/2023	11:06:21.500	1.507	1014	OK	17/08/2023	11:06:21.030	1.037	15.856	43.675	195	1	OK	17/08/2023	11:06:21.588	1.595	20.095	22.642	221	2	OK	17/08/2023	11:06:21.588	1.595	15.886	OK	17/08/2023	11:06:21.588	1.595	1014	OK	17/08/2023	11:06:21.229	1.236	19.059	43.75	190	1	OK	17/08/2023	11:06:21.012	1.019	15.889	OK			
17/08/2023	11:06:22.500	2.507	19.912	22.577	236	1	OK	17/08/2023	11:06:22.500	2.507	15.881	OK	17/08/2023	11:06:22.500	2.507	1014	OK	17/08/2023	11:06:22.028	2.035	15.847	43.677	195	1	OK	17/08/2023	11:06:22.588	2.595	20.067	22.659	221	2	OK	17/08/2023	11:06:22.588	2.595	15.881	OK	17/08/2023	11:06:22.588	2.595	1014	OK	17/08/2023	11:06:22.226	2.233	19.04	43.754	190	1	OK	17/08/2023	11:06:22.011	2.018	15.883	OK			
17/08/2023	11:06:23.498	3.505	19.919	22.573	236	1	OK	17/08/2023	11:06:23.498	3.505	15.876	OK	17/08/2023	11:06:23.498	3.505	1014	OK	17/08/2023	11:06:23.028	3.035	15.847	43.677	195	1	OK	17/08/2023	11:06:23.587	3.594	20.094	22.644	221	2	OK	17/08/2023	11:06:23.587	3.594	15.876	OK	17/08/2023	11:06:23.587	3.594	1014	OK	17/08/2023	11:06:23.225	3.232	19.049	43.752	190	1	OK	17/08/2023	11:06:23.013	3.02	15.879	OK			
17/08/2023	11:06:24.501	4.508	19.913	22.578	236	1	OK	17/08/2023	11:06:24.501	4.508	15.866	OK	17/08/2023	11:06:24.501	4.508	1014	OK	17/08/2023	11:06:24.034	4.041	15.833	43.68	195	1	OK	17/08/2023	11:06:24.591	4.598	20.088	22.648	221	2	OK	17/08/2023	11:06:24.591	4.598	15.866	OK	17/08/2023	11:06:24.591	4.598	1014	OK	17/08/2023	11:06:24.231	4.238	19.068	43.748	190	1	OK	17/08/2023	11:06:24.015	4.022	15.873	OK			
17/08/2023	11:06:25.500	5.507	19.917	22.577	236	1	OK	17/08/2023	11:06:25.500	5.507	15.857	OK	17/08/2023	11:06:25.500	5.507	1014	OK	17/08/2023	11:06:25.031	5.038	15.861	43.674	195	1	OK	17/08/2023	11:06:25.608	5.615	20.099	22.642	221	2	OK	17/08/2023	11:06:25.608	5.615	15.857	OK	17/08/2023	11:06:25.608	5.615	1014	OK	17/08/2023	11:06:25.229	5.236	19.045	43.753	190	1	OK	17/08/2023	11:06:25.014	5.021	15.862	OK			
17/08/2023	11:06:26.501	6.508	19.902	22.587	236	1	OK	17/08/2023	11:06:26.501	6.508	15.848	OK	17/08/2023	11:06:26.501	6.508	1014	OK	17/08/2023	11:06:26.030	6.037	15.828	43.681	195	1	OK	17/08/2023	11:06:26.589	6.596	20.092	22.648	221	2	OK	17/08/2023	11:06:26.589	6.596	15.848	OK	17/08/2023	11:06:26.589	6.596	1014	OK	17/08/2023	11:06:26.226	6.233	19.04	43.754	190	1	OK	17/08/2023	11:06:26.014	6.021	15.852	OK			
17/08/2023	11:06:27.501	7.508	19.911	22.582	236	1	OK	17/08/2023	11:06:27.501	7.508	15.845	OK	17/08/2023	11:06:27.501	7.508	1014	OK	17/08/2023	11:06:27.017	7.024	15.847	43.677	195	1	OK	17/08/2023	11:06:27.591	7.598	20.088	22.651	221	2	OK	17/08/2023	11:06:27.591	7.598	15.845	OK	17/08/2023	11:06:27.591	7.598	1014	OK	17/08/2023	11:06:27.228	7.235	19.082	43.745	190	1	OK	17/08/2023	11:06:27.212	7.219	15.845	OK			
17/08/2023	11:06:28.501	8.508	19.923	22.575	236	1	OK	17/08/2023	11:06:28.501	8.508	15.844	OK	17/08/2023	11:06:28.501	8.508	1014	OK	17/08/2023	11:06:28.016	8.023	15.842	43.678	195	1	OK	17/08/2023	11:06:28.590	8.597	20.089	22.65	221	2	OK	17/08/2023	11:06:28.590	8.597	15.844	OK	17/08/2023	11:06:28.590	8.597	1014	OK	17/08/2023	11:06:28.240	8.247	19.068	43.748	190	1	OK	17/08/2023	11:06:28.226	8.233	15.845	OK			
17/08/2023	11:06:29.501	9.508	19.918	22.579	236	1	OK	17/08/2023	11:06:29.501	9.508	15.839	OK	17/08/2023	11:06:29.501	9.508	1014	OK	17/08/2023	11:06:29.017	9.024	15.856	43.675	195	1	OK	17/08/2023	11:06:29.592	9.599	20.091	22.65	221	2	OK	17/08/2023	11:06:29.592	9.599	15.839	OK	17/08/2023	11:06:29.592	9.599	1014	OK	17/08/2023	11:06:29.225	9.232	19.068	43.748	190	1	OK	17/08/2023	11:06:29.212	9.219	15.84	OK			
