Date_[A_Ch.1_Main]	Time_[A_Ch.1_Main]	_dt_(s)_[A_Ch.1_Main]	Oxygen_(%O2)_[A_Ch.1_Main]	dphi_(°)_[A_Ch.1_Main]	Signal_Intensity_(mV)_[A_Ch.1_Main]	Ambient_Light_(mV)_[A_Ch.1_Main]	Status_[A_Ch.1_Main]	Date_[A_Ch.1_CompT]	Time_[A_Ch.1_CompT]	_dt_(s)_[A_Ch.1_CompT]	Sample_Temp._(°C)_[A_Ch.1_CompT]	Status_[A_Ch.1_CompT]	Date_[A_Ch.1_CompP]	Time_[A_Ch.1_CompP]	_dt_(s)_[A_Ch.1_CompP]	Pressure_(mbar)_[A_Ch.1_CompP]	Status_[A_Ch.1_CompP]	Date_[A_Ch.2_Main]	Time_[A_Ch.2_Main]	_dt_(s)_[A_Ch.2_Main]	Optical_Temp._(°C)_[A_Ch.2_Main]	dphi_(°)_[A_Ch.2_Main]	Signal_Intensity_(mV)_[A_Ch.2_Main]	Ambient_Light_(mV)_[A_Ch.2_Main]	Status_[A_Ch.2_Main]	Date_[A_Ch.3_Main]	Time_[A_Ch.3_Main]	_dt_(s)_[A_Ch.3_Main]	Oxygen_(%O2)_[A_Ch.3_Main]	dphi_(°)_[A_Ch.3_Main]	Signal_Intensity_(mV)_[A_Ch.3_Main]	Ambient_Light_(mV)_[A_Ch.3_Main]	Status_[A_Ch.3_Main]	Date_[A_Ch.3_CompT]	Time_[A_Ch.3_CompT]	_dt_(s)_[A_Ch.3_CompT]	Sample_Temp._(°C)_[A_Ch.3_CompT]	Status_[A_Ch.3_CompT]	Date_[A_Ch.3_CompP]	Time_[A_Ch.3_CompP]	_dt_(s)_[A_Ch.3_CompP]	Pressure_(mbar)_[A_Ch.3_CompP]	Status_[A_Ch.3_CompP]	Date_[A_Ch.4_Main]	Time_[A_Ch.4_Main]	_dt_(s)_[A_Ch.4_Main]	Optical_Temp._(°C)_[A_Ch.4_Main]	dphi_(°)_[A_Ch.4_Main]	Signal_Intensity_(mV)_[A_Ch.4_Main]	Ambient_Light_(mV)_[A_Ch.4_Main]	Status_[A_Ch.4_Main]	Date_[A_T1]	Time_[A_T1]	_dt_(s)_[A_T1]	Sample_Temp._(°C)_[A_T1]	Status_[A_T1]	Date_[Comment]	Time_[Comment]	Comment
17/08/2023	12:29:03.670	0.685	19.438	23.004	97	0	OK	17/08/2023	12:29:03.670	0.685	14.784	OK	17/08/2023	12:29:03.670	0.685	1013	OK	17/08/2023	12:29:02.969	-0.016	15.186	43.819	194	0	OK	17/08/2023	12:29:03.563	0.578	20.121	22.771	140	0	OK	17/08/2023	12:29:03.563	0.578	14.783	OK	17/08/2023	12:29:03.563	0.578	1013	OK	17/08/2023	12:29:03.176	0.191	18.497	43.871	174	1	OK	17/08/2023	12:29:03.163	0.178	14.784	OK			
17/08/2023	12:29:04.510	1.525	19.41	23.02	97	0	OK	17/08/2023	12:29:04.510	1.525	14.787	OK	17/08/2023	12:29:04.510	1.525	1013	OK	17/08/2023	12:29:03.369	0.384	15.2	43.816	194	0	OK	17/08/2023	12:29:04.403	1.418	20.11	22.777	140	0	OK	17/08/2023	12:29:04.403	1.418	14.786	OK	17/08/2023	12:29:04.403	1.418	1013	OK	17/08/2023	12:29:04.014	1.029	18.506	43.869	174	1	OK	17/08/2023	12:29:04.000	1.015	14.784	OK			
17/08/2023	12:29:05.516	2.531	19.416	23.017	97	0	OK	17/08/2023	12:29:05.516	2.531	14.789	OK	17/08/2023	12:29:05.516	2.531	1013	OK	17/08/2023	12:29:04.210	1.225	15.2	43.816	194	0	OK	17/08/2023	12:29:05.411	2.426	20.102	22.781	140	0	OK	17/08/2023	12:29:05.411	2.426	14.789	OK	17/08/2023	12:29:05.411	2.426	1013	OK	17/08/2023	12:29:05.018	2.034	18.543	43.861	174	1	OK	17/08/2023	12:29:05.002	2.017	14.787	OK			
17/08/2023	12:29:06.518	3.533	19.418	23.015	97	0	OK	17/08/2023	12:29:06.518	3.533	14.789	OK	17/08/2023	12:29:06.518	3.533	1013	OK	17/08/2023	12:29:05.213	2.229	15.191	43.818	194	0	OK	17/08/2023	12:29:06.411	3.426	20.115	22.774	140	0	OK	17/08/2023	12:29:06.411	3.426	14.789	OK	17/08/2023	12:29:06.411	3.426	1013	OK	17/08/2023	12:29:06.018	3.033	18.502	43.87	174	1	OK	17/08/2023	12:29:06.002	3.017	14.788	OK			
17/08/2023	12:29:07.514	4.529	19.416	23.016	97	0	OK	17/08/2023	12:29:07.514	4.529	14.787	OK	17/08/2023	12:29:07.514	4.529	1013	OK	17/08/2023	12:29:06.215	3.23	15.195	43.817	194	0	OK	17/08/2023	12:29:07.408	4.424	20.11	22.777	140	1	OK	17/08/2023	12:29:07.408	4.424	14.788	OK	17/08/2023	12:29:07.408	4.424	1013	OK	17/08/2023	12:29:07.019	4.034	18.516	43.867	174	1	OK	17/08/2023	12:29:07.002	4.018	14.789	OK			
17/08/2023	12:29:08.516	5.531	19.43	23.009	97	1	OK	17/08/2023	12:29:08.516	5.531	14.783	OK	17/08/2023	12:29:08.516	5.531	1013	OK	17/08/2023	12:29:07.215	4.23	15.167	43.823	194	1	OK	17/08/2023	12:29:08.407	5.423	20.114	22.775	140	0	OK	17/08/2023	12:29:08.407	5.423	14.783	OK	17/08/2023	12:29:08.407	5.423	1013	OK	17/08/2023	12:29:08.016	5.032	18.474	43.876	174	1	OK	17/08/2023	12:29:08.002	5.017	14.786	OK			
17/08/2023	12:29:09.521	6.536	19.408	23.023	97	0	OK	17/08/2023	12:29:09.521	6.536	14.777	OK	17/08/2023	12:29:09.521	6.536	1013	OK	17/08/2023	12:29:08.213	5.228	15.2	43.816	194	1	OK	17/08/2023	12:29:09.414	6.429	20.122	22.771	140	0	OK	17/08/2023	12:29:09.414	6.429	14.778	OK	17/08/2023	12:29:09.414	6.429	1013	OK	17/08/2023	12:29:09.022	6.037	18.488	43.873	174	1	OK	17/08/2023	12:29:09.004	6.019	14.781	OK			
17/08/2023	12:29:10.519	7.534	19.404	23.025	97	0	OK	17/08/2023	12:29:10.519	7.534	14.776	OK	17/08/2023	12:29:10.519	7.534	1013	OK	17/08/2023	12:29:09.219	6.234	15.186	43.819	194	1	OK	17/08/2023	12:29:10.413	7.428	20.11	22.778	140	0	OK	17/08/2023	12:29:10.413	7.428	14.776	OK	17/08/2023	12:29:10.413	7.428	1013	OK	17/08/2023	12:29:10.021	7.036	18.492	43.872	174	1	OK	17/08/2023	12:29:10.004	7.019	14.776	OK			
17/08/2023	12:29:11.524	8.54	19.416	23.018	97	0	OK	17/08/2023	12:29:11.524	8.54	14.774	OK	17/08/2023	12:29:11.524	8.54	1013	OK	17/08/2023	12:29:10.217	7.233	15.186	43.819	194	0	OK	17/08/2023	12:29:11.417	8.433	20.118	22.774	140	1	OK	17/08/2023	12:29:11.417	8.433	14.773	OK	17/08/2023	12:29:11.417	8.433	1013	OK	17/08/2023	12:29:11.021	8.037	18.488	43.873	174	1	OK	17/08/2023	12:29:11.004	8.019	14.773	OK			
17/08/2023	12:29:12.518	9.534	19.423	23.015	98	0	OK	17/08/2023	12:29:12.518	9.534	14.774	OK	17/08/2023	12:29:12.518	9.534	1013	OK	17/08/2023	12:29:11.218	8.234	15.177	43.821	194	1	OK	17/08/2023	12:29:12.412	9.427	20.137	22.763	140	0	OK	17/08/2023	12:29:12.412	9.427	14.774	OK	17/08/2023	12:29:12.412	9.427	1013	OK	17/08/2023	12:29:12.021	9.036	18.497	43.871	174	1	OK	17/08/2023	12:29:12.005	9.02	14.774	OK			
17/08/2023	12:29:13.522	10.537	19.438	23.006	97	0	OK	17/08/2023	12:29:13.522	10.537	14.772	OK	17/08/2023	12:29:13.522	10.537	1013	OK	17/08/2023	12:29:12.217	9.232	15.195	43.817	194	1	OK	17/08/2023	12:29:13.415	10.43	20.123	22.772	140	1	OK	17/08/2023	12:29:13.415	10.43	14.772	OK	17/08/2023	12:29:13.415	10.43	1013	OK	17/08/2023	12:29:13.021	10.037	18.483	43.874	174	1	OK	17/08/2023	12:29:13.005	10.02	14.773	OK			
17/08/2023	12:29:14.517	11.532	19.428	23.012	97	0	OK	17/08/2023	12:29:14.517	11.532	14.772	OK	17/08/2023	12:29:14.517	11.532	1013	OK	17/08/2023	12:29:13.218	10.233	15.163	43.824	194	1	OK	17/08/2023	12:29:14.411	11.427	20.118	22.774	140	1	OK	17/08/2023	12:29:14.411	11.427	14.772	OK	17/08/2023	12:29:14.411	11.427	1013	OK	17/08/2023	12:29:14.019	11.035	18.488	43.873	174	1	OK	17/08/2023	12:29:14.005	11.02	14.773	OK			
