Date_[A_Ch.1_Main]	Time_[A_Ch.1_Main]	_dt_(s)_[A_Ch.1_Main]	Oxygen_(%O2)_[A_Ch.1_Main]	dphi_(°)_[A_Ch.1_Main]	Signal_Intensity_(mV)_[A_Ch.1_Main]	Ambient_Light_(mV)_[A_Ch.1_Main]	Status_[A_Ch.1_Main]	Date_[A_Ch.1_CompT]	Time_[A_Ch.1_CompT]	_dt_(s)_[A_Ch.1_CompT]	Sample_Temp._(°C)_[A_Ch.1_CompT]	Status_[A_Ch.1_CompT]	Date_[A_Ch.1_CompP]	Time_[A_Ch.1_CompP]	_dt_(s)_[A_Ch.1_CompP]	Pressure_(mbar)_[A_Ch.1_CompP]	Status_[A_Ch.1_CompP]	Date_[A_Ch.2_Main]	Time_[A_Ch.2_Main]	_dt_(s)_[A_Ch.2_Main]	Optical_Temp._(°C)_[A_Ch.2_Main]	dphi_(°)_[A_Ch.2_Main]	Signal_Intensity_(mV)_[A_Ch.2_Main]	Ambient_Light_(mV)_[A_Ch.2_Main]	Status_[A_Ch.2_Main]	Date_[A_Ch.3_Main]	Time_[A_Ch.3_Main]	_dt_(s)_[A_Ch.3_Main]	Oxygen_(%O2)_[A_Ch.3_Main]	dphi_(°)_[A_Ch.3_Main]	Signal_Intensity_(mV)_[A_Ch.3_Main]	Ambient_Light_(mV)_[A_Ch.3_Main]	Status_[A_Ch.3_Main]	Date_[A_Ch.3_CompT]	Time_[A_Ch.3_CompT]	_dt_(s)_[A_Ch.3_CompT]	Sample_Temp._(°C)_[A_Ch.3_CompT]	Status_[A_Ch.3_CompT]	Date_[A_Ch.3_CompP]	Time_[A_Ch.3_CompP]	_dt_(s)_[A_Ch.3_CompP]	Pressure_(mbar)_[A_Ch.3_CompP]	Status_[A_Ch.3_CompP]	Date_[A_Ch.4_Main]	Time_[A_Ch.4_Main]	_dt_(s)_[A_Ch.4_Main]	Optical_Temp._(°C)_[A_Ch.4_Main]	dphi_(°)_[A_Ch.4_Main]	Signal_Intensity_(mV)_[A_Ch.4_Main]	Ambient_Light_(mV)_[A_Ch.4_Main]	Status_[A_Ch.4_Main]	Date_[A_T1]	Time_[A_T1]	_dt_(s)_[A_T1]	Sample_Temp._(°C)_[A_T1]	Status_[A_T1]	Date_[Comment]	Time_[Comment]	Comment
21/08/2023	10:10:50.531	0.537	19.596	22.657	186	1	OK	21/08/2023	10:10:50.531	0.537	16.017	OK	21/08/2023	10:10:50.531	0.537	1022	OK	21/08/2023	10:10:49.935	-0.059	14.728	43.918	213	1	OK	21/08/2023	10:10:50.629	0.635	19.826	22.693	184	2	OK	21/08/2023	10:10:50.629	0.635	16.014	OK	21/08/2023	10:10:50.629	0.635	1022	OK	21/08/2023	10:10:50.142	0.148	16.479	44.311	120	1	OK	21/08/2023	10:10:50.129	0.136	16.019	OK			
21/08/2023	10:10:51.463	1.469	19.602	22.654	186	1	OK	21/08/2023	10:10:51.463	1.469	16.005	OK	21/08/2023	10:10:51.463	1.469	1022	OK	21/08/2023	10:10:50.335	0.342	14.751	43.913	213	0	OK	21/08/2023	10:10:51.558	1.565	19.854	22.678	185	2	OK	21/08/2023	10:10:51.558	1.565	16.001	OK	21/08/2023	10:10:51.558	1.565	1022	OK	21/08/2023	10:10:51.025	1.031	16.52	44.302	120	1	OK	21/08/2023	10:10:51.011	1.017	16.009	OK			
21/08/2023	10:10:52.464	2.47	19.603	22.655	186	1	OK	21/08/2023	10:10:52.464	2.47	15.993	OK	21/08/2023	10:10:52.464	2.47	1022	OK	21/08/2023	10:10:51.220	1.226	14.742	43.915	213	1	OK	21/08/2023	10:10:52.561	2.567	19.853	22.679	185	2	OK	21/08/2023	10:10:52.561	2.567	15.993	OK	21/08/2023	10:10:52.561	2.567	1022	OK	21/08/2023	10:10:52.025	2.031	16.552	44.295	120	1	OK	21/08/2023	10:10:52.009	2.015	15.997	OK			
21/08/2023	10:10:53.466	3.473	19.599	22.659	186	1	OK	21/08/2023	10:10:53.466	3.473	15.984	OK	21/08/2023	10:10:53.466	3.473	1022	OK	21/08/2023	10:10:52.222	2.228	14.737	43.916	213	1	OK	21/08/2023	10:10:53.563	3.569	19.852	22.681	185	2	OK	21/08/2023	10:10:53.563	3.569	15.984	OK	21/08/2023	10:10:53.563	3.569	1022	OK	21/08/2023	10:10:53.026	3.033	16.511	44.304	120	1	OK	21/08/2023	10:10:53.010	3.016	15.988	OK			
21/08/2023	10:10:54.469	4.475	19.612	22.652	186	1	OK	21/08/2023	10:10:54.469	4.475	15.979	OK	21/08/2023	10:10:54.469	4.475	1022	OK	21/08/2023	10:10:53.238	3.244	14.751	43.913	213	0	OK	21/08/2023	10:10:54.564	4.57	19.849	22.684	185	2	OK	21/08/2023	10:10:54.564	4.57	15.979	OK	21/08/2023	10:10:54.564	4.57	1022	OK	21/08/2023	10:10:54.027	4.033	16.506	44.305	120	1	OK	21/08/2023	10:10:54.011	4.017	15.981	OK			
21/08/2023	10:10:55.468	5.475	19.618	22.649	186	1	OK	21/08/2023	10:10:55.468	5.475	15.97	OK	21/08/2023	10:10:55.468	5.475	1022	OK	21/08/2023	10:10:54.222	4.228	14.742	43.915	213	1	OK	21/08/2023	10:10:55.565	5.572	19.847	22.686	185	2	OK	21/08/2023	10:10:55.565	5.572	15.97	OK	21/08/2023	10:10:55.565	5.572	1022	OK	21/08/2023	10:10:55.027	5.033	16.502	44.306	120	1	OK	21/08/2023	10:10:55.010	5.017	15.975	OK			
21/08/2023	10:10:56.468	6.474	19.614	22.653	186	1	OK	21/08/2023	10:10:56.468	6.474	15.964	OK	21/08/2023	10:10:56.468	6.474	1022	OK	21/08/2023	10:10:55.223	5.23	14.742	43.915	213	1	OK	21/08/2023	10:10:56.564	6.57	19.846	22.687	185	2	OK	21/08/2023	10:10:56.564	6.57	15.964	OK	21/08/2023	10:10:56.564	6.57	1022	OK	21/08/2023	10:10:56.027	6.034	16.493	44.308	120	1	OK	21/08/2023	10:10:56.011	6.017	15.967	OK			
21/08/2023	10:10:57.467	7.473	19.606	22.659	186	1	OK	21/08/2023	10:10:57.467	7.473	15.955	OK	21/08/2023	10:10:57.467	7.473	1022	OK	21/08/2023	10:10:56.226	6.232	14.732	43.917	213	1	OK	21/08/2023	10:10:57.563	7.569	19.847	22.688	185	2	OK	21/08/2023	10:10:57.563	7.569	15.955	OK	21/08/2023	10:10:57.563	7.569	1022	OK	21/08/2023	10:10:57.024	7.031	16.502	44.306	120	1	OK	21/08/2023	10:10:57.011	7.018	15.96	OK			
21/08/2023	10:10:58.468	8.474	19.617	22.653	186	1	OK	21/08/2023	10:10:58.468	8.474	15.943	OK	21/08/2023	10:10:58.468	8.474	1022	OK	21/08/2023	10:10:57.219	7.225	14.774	43.908	213	1	OK	21/08/2023	10:10:58.565	8.571	19.852	22.686	185	2	OK	21/08/2023	10:10:58.565	8.571	15.943	OK	21/08/2023	10:10:58.565	8.571	1022	OK	21/08/2023	10:10:58.029	8.035	16.484	44.31	120	1	OK	21/08/2023	10:10:58.012	8.019	15.951	OK			
21/08/2023	10:10:59.469	9.475	19.615	22.656	186	1	OK	21/08/2023	10:10:59.469	9.475	15.927	OK	21/08/2023	10:10:59.469	9.475	1022	OK	21/08/2023	10:10:58.239	8.245	14.732	43.917	213	1	OK	21/08/2023	10:10:59.564	9.571	19.866	22.68	185	2	OK	21/08/2023	10:10:59.564	9.571	15.927	OK	21/08/2023	10:10:59.564	9.571	1022	OK	21/08/2023	10:10:59.031	9.037	16.524	44.301	120	1	OK	21/08/2023	10:10:59.014	9.02	15.937	OK			
