Date_[A_Ch.1_Main]	Time_[A_Ch.1_Main]	_dt_(s)_[A_Ch.1_Main]	Oxygen_(%O2)_[A_Ch.1_Main]	dphi_(_)_[A_Ch.1_Main]	Signal_Intensity_(mV)_[A_Ch.1_Main]	Ambient_Light_(mV)_[A_Ch.1_Main]	Status_[A_Ch.1_Main]	Date_[A_Ch.1_CompT]	Time_[A_Ch.1_CompT]	_dt_(s)_[A_Ch.1_CompT]	Sample_Temp._(_C)_[A_Ch.1_CompT]	Status_[A_Ch.1_CompT]	Date_[A_Ch.1_CompP]	Time_[A_Ch.1_CompP]	_dt_(s)_[A_Ch.1_CompP]	Pressure_(mbar)_[A_Ch.1_CompP]	Status_[A_Ch.1_CompP]	Date_[A_Ch.2_Main]	Time_[A_Ch.2_Main]	_dt_(s)_[A_Ch.2_Main]	Optical_Temp._(_C)_[A_Ch.2_Main]	dphi_(_)_[A_Ch.2_Main]	Signal_Intensity_(mV)_[A_Ch.2_Main]	Ambient_Light_(mV)_[A_Ch.2_Main]	Status_[A_Ch.2_Main]	Date_[A_Ch.3_Main]	Time_[A_Ch.3_Main]	_dt_(s)_[A_Ch.3_Main]	Oxygen_(%O2)_[A_Ch.3_Main]	dphi_(_)_[A_Ch.3_Main]	Signal_Intensity_(mV)_[A_Ch.3_Main]	Ambient_Light_(mV)_[A_Ch.3_Main]	Status_[A_Ch.3_Main]	Date_[A_Ch.3_CompT]	Time_[A_Ch.3_CompT]	_dt_(s)_[A_Ch.3_CompT]	Sample_Temp._(_C)_[A_Ch.3_CompT]	Status_[A_Ch.3_CompT]	Date_[A_Ch.3_CompP]	Time_[A_Ch.3_CompP]	_dt_(s)_[A_Ch.3_CompP]	Pressure_(mbar)_[A_Ch.3_CompP]	Status_[A_Ch.3_CompP]	Date_[A_Ch.4_Main]	Time_[A_Ch.4_Main]	_dt_(s)_[A_Ch.4_Main]	Optical_Temp._(_C)_[A_Ch.4_Main]	dphi_(_)_[A_Ch.4_Main]	Signal_Intensity_(mV)_[A_Ch.4_Main]	Ambient_Light_(mV)_[A_Ch.4_Main]	Status_[A_Ch.4_Main]	Date_[A_T1]	Time_[A_T1]	_dt_(s)_[A_T1]	Sample_Temp._(_C)_[A_T1]	Status_[A_T1]	Date_[Comment]	Time_[Comment]	Comment
22/08/2023	11:20:09.325	0.423	20.247	22.539	231	1	OK	22/08/2023	11:20:09.325	0.423	14.019	OK	22/08/2023	11:20:09.325	0.423	1020	OK	22/08/2023	11:20:08.919	0.016	15.847	43.677	214	0	OK	22/08/2023	11:20:09.416	0.514	20.756	22.421	218	1	OK	22/08/2023	11:20:09.416	0.514	14.02	OK	22/08/2023	11:20:09.416	0.514	1020	OK	22/08/2023	11:20:09.115	0.212	18.59	43.851	169	0	OK	22/08/2023	11:20:09.310	0.408	14.019	OK			
22/08/2023	11:20:10.328	1.425	20.243	22.542	231	1	OK	22/08/2023	11:20:10.328	1.425	14.022	OK	22/08/2023	11:20:10.328	1.425	1020	OK	22/08/2023	11:20:09.936	1.034	15.861	43.674	214	0	OK	22/08/2023	11:20:10.417	1.515	20.751	22.423	218	1	OK	22/08/2023	11:20:10.417	1.515	14.022	OK	22/08/2023	11:20:10.417	1.515	1020	OK	22/08/2023	11:20:10.132	1.229	18.608	43.847	169	1	OK	22/08/2023	11:20:09.922	1.019	14.021	OK			
22/08/2023	11:20:11.327	2.425	20.227	22.549	231	1	OK	22/08/2023	11:20:11.327	2.425	14.029	OK	22/08/2023	11:20:11.327	2.425	1020	OK	22/08/2023	11:20:10.936	2.034	15.851	43.676	214	0	OK	22/08/2023	11:20:11.414	2.512	20.737	22.431	218	1	OK	22/08/2023	11:20:11.414	2.512	14.029	OK	22/08/2023	11:20:11.414	2.512	1020	OK	22/08/2023	11:20:11.131	2.229	18.622	43.844	169	0	OK	22/08/2023	11:20:10.921	2.019	14.026	OK			
22/08/2023	11:20:12.331	3.429	20.232	22.546	231	1	OK	22/08/2023	11:20:12.331	3.429	14.033	OK	22/08/2023	11:20:12.331	3.429	1020	OK	22/08/2023	11:20:11.937	3.034	15.87	43.672	214	1	OK	22/08/2023	11:20:12.417	3.515	20.754	22.42	219	1	OK	22/08/2023	11:20:12.417	3.515	14.033	OK	22/08/2023	11:20:12.417	3.515	1020	OK	22/08/2023	11:20:12.135	3.233	18.58	43.853	169	0	OK	22/08/2023	11:20:11.922	3.02	14.032	OK			
22/08/2023	11:20:13.331	4.428	20.222	22.551	231	0	OK	22/08/2023	11:20:13.331	4.428	14.038	OK	22/08/2023	11:20:13.331	4.428	1020	OK	22/08/2023	11:20:12.939	4.037	15.833	43.68	214	0	OK	22/08/2023	11:20:13.419	4.517	20.74	22.428	219	1	OK	22/08/2023	11:20:13.419	4.517	14.038	OK	22/08/2023	11:20:13.419	4.517	1020	OK	22/08/2023	11:20:13.135	4.233	18.594	43.85	169	0	OK	22/08/2023	11:20:12.922	4.02	14.035	OK			
22/08/2023	11:20:14.330	5.427	20.211	22.557	231	1	OK	22/08/2023	11:20:14.330	5.427	14.043	OK	22/08/2023	11:20:14.330	5.427	1020	OK	22/08/2023	11:20:13.939	5.037	15.87	43.672	214	0	OK	22/08/2023	11:20:14.417	5.515	20.735	22.43	219	1	OK	22/08/2023	11:20:14.417	5.515	14.043	OK	22/08/2023	11:20:14.417	5.515	1020	OK	22/08/2023	11:20:14.134	5.232	18.627	43.843	169	0	OK	22/08/2023	11:20:13.922	5.02	14.042	OK			
22/08/2023	11:20:15.332	6.429	20.216	22.553	231	1	OK	22/08/2023	11:20:15.332	6.429	14.047	OK	22/08/2023	11:20:15.332	6.429	1020	OK	22/08/2023	11:20:15.133	6.231	15.828	43.681	214	0	OK	22/08/2023	11:20:15.419	6.517	20.738	22.427	219	1	OK	22/08/2023	11:20:15.419	6.517	14.047	OK	22/08/2023	11:20:15.419	6.517	1020	OK	22/08/2023	11:20:14.938	6.036	18.599	43.849	169	0	OK	22/08/2023	11:20:14.922	6.02	14.046	OK			
22/08/2023	11:20:16.329	7.427	20.218	22.552	231	0	OK	22/08/2023	11:20:16.329	7.427	14.048	OK	22/08/2023	11:20:16.329	7.427	1020	OK	22/08/2023	11:20:16.134	7.232	15.833	43.68	214	0	OK	22/08/2023	11:20:16.416	7.514	20.73	22.432	219	1	OK	22/08/2023	11:20:16.416	7.514	14.048	OK	22/08/2023	11:20:16.416	7.514	1020	OK	22/08/2023	11:20:15.937	7.035	18.59	43.851	169	0	OK	22/08/2023	11:20:15.922	7.02	14.049	OK			
22/08/2023	11:20:17.335	8.432	20.209	22.558	231	0	OK	22/08/2023	11:20:17.335	8.432	14.043	OK	22/08/2023	11:20:17.335	8.432	1020	OK	22/08/2023	11:20:17.136	8.234	15.842	43.678	214	0	OK	22/08/2023	11:20:17.422	8.52	20.738	22.428	219	1	OK	22/08/2023	11:20:17.422	8.52	14.043	OK	22/08/2023	11:20:17.422	8.52	1020	OK	22/08/2023	11:20:16.938	8.036	18.604	43.848	169	0	OK	22/08/2023	11:20:16.922	8.02	14.046	OK			
22/08/2023	11:20:18.329	9.426	20.226	22.549	231	1	OK	22/08/2023	11:20:18.329	9.426	14.035	OK	22/08/2023	11:20:18.329	9.426	1020	OK	22/08/2023	11:20:18.134	9.232	15.833	43.68	214	0	OK	22/08/2023	11:20:18.417	9.515	20.742	22.426	219	1	OK	22/08/2023	11:20:18.417	9.515	14.035	OK	22/08/2023	11:20:18.417	9.515	1020	OK	22/08/2023	11:20:17.939	9.037	18.641	43.84	169	0	OK	22/08/2023	11:20:17.922	9.02	14.039	OK			
