Date_[A_Ch.1_Main]	Time_[A_Ch.1_Main]	_dt_(s)_[A_Ch.1_Main]	Oxygen_(%O2)_[A_Ch.1_Main]	dphi_(°)_[A_Ch.1_Main]	Signal_Intensity_(mV)_[A_Ch.1_Main]	Ambient_Light_(mV)_[A_Ch.1_Main]	Status_[A_Ch.1_Main]	Date_[A_Ch.1_CompT]	Time_[A_Ch.1_CompT]	_dt_(s)_[A_Ch.1_CompT]	Sample_Temp._(°C)_[A_Ch.1_CompT]	Status_[A_Ch.1_CompT]	Date_[A_Ch.1_CompP]	Time_[A_Ch.1_CompP]	_dt_(s)_[A_Ch.1_CompP]	Pressure_(mbar)_[A_Ch.1_CompP]	Status_[A_Ch.1_CompP]	Date_[A_Ch.2_Main]	Time_[A_Ch.2_Main]	_dt_(s)_[A_Ch.2_Main]	Optical_Temp._(°C)_[A_Ch.2_Main]	dphi_(°)_[A_Ch.2_Main]	Signal_Intensity_(mV)_[A_Ch.2_Main]	Ambient_Light_(mV)_[A_Ch.2_Main]	Status_[A_Ch.2_Main]	Date_[A_Ch.3_Main]	Time_[A_Ch.3_Main]	_dt_(s)_[A_Ch.3_Main]	Oxygen_(%O2)_[A_Ch.3_Main]	dphi_(°)_[A_Ch.3_Main]	Signal_Intensity_(mV)_[A_Ch.3_Main]	Ambient_Light_(mV)_[A_Ch.3_Main]	Status_[A_Ch.3_Main]	Date_[A_Ch.3_CompT]	Time_[A_Ch.3_CompT]	_dt_(s)_[A_Ch.3_CompT]	Sample_Temp._(°C)_[A_Ch.3_CompT]	Status_[A_Ch.3_CompT]	Date_[A_Ch.3_CompP]	Time_[A_Ch.3_CompP]	_dt_(s)_[A_Ch.3_CompP]	Pressure_(mbar)_[A_Ch.3_CompP]	Status_[A_Ch.3_CompP]	Date_[A_Ch.4_Main]	Time_[A_Ch.4_Main]	_dt_(s)_[A_Ch.4_Main]	Optical_Temp._(°C)_[A_Ch.4_Main]	dphi_(°)_[A_Ch.4_Main]	Signal_Intensity_(mV)_[A_Ch.4_Main]	Ambient_Light_(mV)_[A_Ch.4_Main]	Status_[A_Ch.4_Main]	Date_[A_T1]	Time_[A_T1]	_dt_(s)_[A_T1]	Sample_Temp._(°C)_[A_T1]	Status_[A_T1]	Date_[Comment]	Time_[Comment]	Comment
22/08/2023	14:42:47.917	0.682	19.119	22.448	102	1	OK	22/08/2023	14:42:47.917	0.682	20.398	OK	22/08/2023	14:42:47.917	0.682	1019	OK	22/08/2023	14:42:47.333	0.099	19.555	42.895	207	1	OK	22/08/2023	14:42:48.042	0.808	20.08	22.05	254	1	OK	22/08/2023	14:42:48.042	0.808	20.398	OK	22/08/2023	14:42:48.042	0.808	1019	OK	22/08/2023	14:42:47.123	-0.111	22.636	42.993	166	1	OK	22/08/2023	14:42:47.320	0.086	20.398	OK			
22/08/2023	14:42:48.915	1.681	19.117	22.45	102	0	OK	22/08/2023	14:42:48.915	1.681	20.399	OK	22/08/2023	14:42:48.915	1.681	1019	OK	22/08/2023	14:42:47.724	0.49	19.541	42.898	207	1	OK	22/08/2023	14:42:49.042	1.808	20.089	22.045	254	1	OK	22/08/2023	14:42:49.042	1.808	20.399	OK	22/08/2023	14:42:49.042	1.808	1019	OK	22/08/2023	14:42:47.529	0.295	22.636	42.993	166	1	OK	22/08/2023	14:42:48.516	1.282	20.399	OK			
22/08/2023	14:42:49.916	2.681	19.119	22.448	102	1	OK	22/08/2023	14:42:49.916	2.681	20.402	OK	22/08/2023	14:42:49.916	2.681	1019	OK	22/08/2023	14:42:48.531	1.296	19.546	42.897	207	1	OK	22/08/2023	14:42:50.040	2.805	20.086	22.047	254	1	OK	22/08/2023	14:42:50.040	2.805	20.402	OK	22/08/2023	14:42:50.040	2.805	1019	OK	22/08/2023	14:42:48.321	1.087	22.636	42.993	166	1	OK	22/08/2023	14:42:49.521	2.286	20.403	OK			
22/08/2023	14:42:50.914	3.68	19.126	22.444	102	1	OK	22/08/2023	14:42:50.914	3.68	20.402	OK	22/08/2023	14:42:50.914	3.68	1019	OK	22/08/2023	14:42:49.536	2.302	19.551	42.896	207	1	OK	22/08/2023	14:42:51.035	3.801	20.081	22.05	254	1	OK	22/08/2023	14:42:51.035	3.801	20.401	OK	22/08/2023	14:42:51.035	3.801	1019	OK	22/08/2023	14:42:49.324	2.089	22.646	42.991	166	1	OK	22/08/2023	14:42:50.518	3.284	20.4	OK			
22/08/2023	14:42:51.916	4.681	19.138	22.436	102	0	OK	22/08/2023	14:42:51.916	4.681	20.401	OK	22/08/2023	14:42:51.916	4.681	1019	OK	22/08/2023	14:42:50.533	3.298	19.541	42.898	207	1	OK	22/08/2023	14:42:52.038	4.804	20.091	22.044	254	1	OK	22/08/2023	14:42:52.038	4.804	20.401	OK	22/08/2023	14:42:52.038	4.804	1019	OK	22/08/2023	14:42:50.324	3.089	22.636	42.993	166	1	OK	22/08/2023	14:42:51.520	4.286	20.4	OK			
22/08/2023	14:42:52.918	5.684	19.114	22.451	102	1	OK	22/08/2023	14:42:52.918	5.684	20.402	OK	22/08/2023	14:42:52.918	5.684	1019	OK	22/08/2023	14:42:51.535	4.3	19.565	42.893	207	1	OK	22/08/2023	14:42:53.057	5.823	20.087	22.046	254	1	OK	22/08/2023	14:42:53.057	5.823	20.403	OK	22/08/2023	14:42:53.057	5.823	1019	OK	22/08/2023	14:42:51.325	4.09	22.617	42.997	166	1	OK	22/08/2023	14:42:52.521	5.287	20.402	OK			
22/08/2023	14:42:53.918	6.683	19.101	22.459	102	0	OK	22/08/2023	14:42:53.918	6.683	20.405	OK	22/08/2023	14:42:53.918	6.683	1019	OK	22/08/2023	14:42:52.537	5.303	19.56	42.894	207	1	OK	22/08/2023	14:42:54.043	6.809	20.097	22.04	254	1	OK	22/08/2023	14:42:54.043	6.809	20.405	OK	22/08/2023	14:42:54.043	6.809	1019	OK	22/08/2023	14:42:52.325	5.09	22.627	42.995	166	1	OK	22/08/2023	14:42:53.520	6.286	20.405	OK			
22/08/2023	14:42:54.919	7.684	19.129	22.442	102	1	OK	22/08/2023	14:42:54.919	7.684	20.406	OK	22/08/2023	14:42:54.919	7.684	1019	OK	22/08/2023	14:42:53.536	6.302	19.522	42.902	207	1	OK	22/08/2023	14:42:55.041	7.807	20.08	22.05	254	1	OK	22/08/2023	14:42:55.041	7.807	20.406	OK	22/08/2023	14:42:55.041	7.807	1019	OK	22/08/2023	14:42:53.324	6.09	22.617	42.997	166	1	OK	22/08/2023	14:42:54.519	7.284	20.406	OK			
22/08/2023	14:42:55.918	8.684	19.132	22.44	102	1	OK	22/08/2023	14:42:55.918	8.684	20.406	OK	22/08/2023	14:42:55.918	8.684	1019	OK	22/08/2023	14:42:54.538	7.304	19.517	42.903	207	1	OK	22/08/2023	14:42:56.040	8.806	20.081	22.049	254	1	OK	22/08/2023	14:42:56.040	8.806	20.406	OK	22/08/2023	14:42:56.040	8.806	1019	OK	22/08/2023	14:42:54.325	7.09	22.631	42.994	166	1	OK	22/08/2023	14:42:55.520	8.285	20.407	OK			
22/08/2023	14:42:56.919	9.684	19.105	22.456	102	1	OK	22/08/2023	14:42:56.919	9.684	20.406	OK	22/08/2023	14:42:56.919	9.684	1019	OK	22/08/2023	14:42:55.538	8.304	19.541	42.898	207	1	OK	22/08/2023	14:42:57.042	9.808	20.083	22.048	254	1	OK	22/08/2023	14:42:57.042	9.808	20.406	OK	22/08/2023	14:42:57.042	9.808	1019	OK	22/08/2023	14:42:55.325	8.09	22.627	42.995	166	1	OK	22/08/2023	14:42:56.521	9.287	20.405	OK			
22/08/2023	14:42:57.919	10.685	19.105	22.456	102	1	OK	22/08/2023	14:42:57.919	10.685	20.406	OK	22/08/2023	14:42:57.919	10.685	1019	OK	22/08/2023	14:42:56.538	9.303	19.531	42.9	207	1	OK	22/08/2023	14:42:58.042	10.807	20.074	22.053	254	1	OK	22/08/2023	14:42:58.042	10.807	20.406	OK	22/08/2023	14:42:58.042	10.807	1019	OK	22/08/2023	14:42:56.325	9.091	22.588	43.003	166	1	OK	22/08/2023	14:42:57.523	10.288	20.405	OK			
22/08/2023	14:42:58.919	11.685	19.114	22.451	102	1	OK	22/08/2023	14:42:58.919	11.685	20.405	OK	22/08/2023	14:42:58.919	11.685	1019	OK	22/08/2023	14:42:57.537	10.303	19.546	42.897	207	1	OK	22/08/2023	14:42:59.043	11.808	20.089	22.044	254	1	OK	22/08/2023	14:42:59.043	11.808	20.405	OK	22/08/2023	14:42:59.043	11.808	1019	OK	22/08/2023	14:42:57.326	10.092	22.588	43.003	166	1	OK	22/08/2023	14:42:58.520	11.286	20.406	OK			
