Date_[A_Ch.1_Main]	Time_[A_Ch.1_Main]	_dt_(s)_[A_Ch.1_Main]	Oxygen_(%O2)_[A_Ch.1_Main]	dphi_(_)_[A_Ch.1_Main]	Signal_Intensity_(mV)_[A_Ch.1_Main]	Ambient_Light_(mV)_[A_Ch.1_Main]	Status_[A_Ch.1_Main]	Date_[A_Ch.1_CompT]	Time_[A_Ch.1_CompT]	_dt_(s)_[A_Ch.1_CompT]	Sample_Temp._(_C)_[A_Ch.1_CompT]	Status_[A_Ch.1_CompT]	Date_[A_Ch.1_CompP]	Time_[A_Ch.1_CompP]	_dt_(s)_[A_Ch.1_CompP]	Pressure_(mbar)_[A_Ch.1_CompP]	Status_[A_Ch.1_CompP]	Date_[A_Ch.2_Main]	Time_[A_Ch.2_Main]	_dt_(s)_[A_Ch.2_Main]	Optical_Temp._(_C)_[A_Ch.2_Main]	dphi_(_)_[A_Ch.2_Main]	Signal_Intensity_(mV)_[A_Ch.2_Main]	Ambient_Light_(mV)_[A_Ch.2_Main]	Status_[A_Ch.2_Main]	Date_[A_Ch.3_Main]	Time_[A_Ch.3_Main]	_dt_(s)_[A_Ch.3_Main]	Oxygen_(%O2)_[A_Ch.3_Main]	dphi_(_)_[A_Ch.3_Main]	Signal_Intensity_(mV)_[A_Ch.3_Main]	Ambient_Light_(mV)_[A_Ch.3_Main]	Status_[A_Ch.3_Main]	Date_[A_Ch.3_CompT]	Time_[A_Ch.3_CompT]	_dt_(s)_[A_Ch.3_CompT]	Sample_Temp._(_C)_[A_Ch.3_CompT]	Status_[A_Ch.3_CompT]	Date_[A_Ch.3_CompP]	Time_[A_Ch.3_CompP]	_dt_(s)_[A_Ch.3_CompP]	Pressure_(mbar)_[A_Ch.3_CompP]	Status_[A_Ch.3_CompP]	Date_[A_Ch.4_Main]	Time_[A_Ch.4_Main]	_dt_(s)_[A_Ch.4_Main]	Optical_Temp._(_C)_[A_Ch.4_Main]	dphi_(_)_[A_Ch.4_Main]	Signal_Intensity_(mV)_[A_Ch.4_Main]	Ambient_Light_(mV)_[A_Ch.4_Main]	Status_[A_Ch.4_Main]	Date_[A_T1]	Time_[A_T1]	_dt_(s)_[A_T1]	Sample_Temp._(_C)_[A_T1]	Status_[A_T1]	Date_[Comment]	Time_[Comment]	Comment
22/08/2023	15:03:39.564	0.647	19.647	22.136	172	1	OK	22/08/2023	15:03:39.564	0.647	20.391	OK	22/08/2023	15:03:39.564	0.647	1019	OK	22/08/2023	15:03:39.174	0.256	19.204	42.968	163	1	OK	22/08/2023	15:03:39.089	0.171	20.213	21.978	288	1	OK	22/08/2023	15:03:39.089	0.171	20.39	OK	22/08/2023	15:03:39.089	0.171	1019	OK	22/08/2023	15:03:38.878	-0.04	23.305	42.854	189	0	OK	22/08/2023	15:03:39.074	0.157	20.39	OK			
22/08/2023	15:03:40.409	1.492	19.663	22.127	173	1	OK	22/08/2023	15:03:40.409	1.492	20.392	OK	22/08/2023	15:03:40.409	1.492	1019	OK	22/08/2023	15:03:40.004	1.086	19.195	42.97	163	1	OK	22/08/2023	15:03:39.921	1.003	20.206	21.982	288	1	OK	22/08/2023	15:03:39.921	1.003	20.39	OK	22/08/2023	15:03:39.921	1.003	1019	OK	22/08/2023	15:03:39.369	0.451	23.3	42.855	189	1	OK	22/08/2023	15:03:40.395	1.477	20.392	OK			
22/08/2023	15:03:41.412	2.495	19.654	22.132	173	0	OK	22/08/2023	15:03:41.412	2.495	20.393	OK	22/08/2023	15:03:41.412	2.495	1019	OK	22/08/2023	15:03:41.006	2.088	19.199	42.969	163	1	OK	22/08/2023	15:03:40.921	2.004	20.206	21.982	288	1	OK	22/08/2023	15:03:40.921	2.004	20.392	OK	22/08/2023	15:03:40.921	2.004	1019	OK	22/08/2023	15:03:40.199	1.282	23.315	42.852	189	1	OK	22/08/2023	15:03:41.397	2.48	20.393	OK			
22/08/2023	15:03:42.414	3.497	19.625	22.149	173	1	OK	22/08/2023	15:03:42.414	3.497	20.396	OK	22/08/2023	15:03:42.414	3.497	1019	OK	22/08/2023	15:03:42.004	3.087	19.19	42.971	163	1	OK	22/08/2023	15:03:41.921	3.004	20.215	21.977	288	1	OK	22/08/2023	15:03:41.921	3.004	20.394	OK	22/08/2023	15:03:41.921	3.004	1019	OK	22/08/2023	15:03:41.204	2.286	23.334	42.848	189	1	OK	22/08/2023	15:03:42.395	3.477	20.396	OK			
22/08/2023	15:03:43.410	4.492	19.652	22.133	173	0	OK	22/08/2023	15:03:43.410	4.492	20.394	OK	22/08/2023	15:03:43.410	4.492	1019	OK	22/08/2023	15:03:43.004	4.086	19.195	42.97	163	0	OK	22/08/2023	15:03:42.921	4.004	20.196	21.987	288	1	OK	22/08/2023	15:03:42.921	4.004	20.394	OK	22/08/2023	15:03:42.921	4.004	1019	OK	22/08/2023	15:03:42.202	3.284	23.329	42.849	189	1	OK	22/08/2023	15:03:43.396	4.478	20.394	OK			
22/08/2023	15:03:44.410	5.493	19.66	22.128	173	0	OK	22/08/2023	15:03:44.410	5.493	20.394	OK	22/08/2023	15:03:44.410	5.493	1019	OK	22/08/2023	15:03:44.006	5.088	19.195	42.97	163	0	OK	22/08/2023	15:03:43.921	5.004	20.2	21.985	288	1	OK	22/08/2023	15:03:43.921	5.004	20.393	OK	22/08/2023	15:03:43.921	5.004	1019	OK	22/08/2023	15:03:43.202	4.285	23.329	42.849	189	1	OK	22/08/2023	15:03:44.396	5.478	20.394	OK			
22/08/2023	15:03:45.408	6.491	19.65	22.134	173	1	OK	22/08/2023	15:03:45.408	6.491	20.393	OK	22/08/2023	15:03:45.408	6.491	1019	OK	22/08/2023	15:03:45.004	6.087	19.204	42.968	163	0	OK	22/08/2023	15:03:44.921	6.004	20.21	21.98	288	1	OK	22/08/2023	15:03:44.921	6.004	20.394	OK	22/08/2023	15:03:44.921	6.004	1019	OK	22/08/2023	15:03:44.201	5.283	23.295	42.856	189	1	OK	22/08/2023	15:03:45.394	6.476	20.393	OK			
22/08/2023	15:03:46.410	7.492	19.651	22.134	173	0	OK	22/08/2023	15:03:46.410	7.492	20.395	OK	22/08/2023	15:03:46.410	7.492	1019	OK	22/08/2023	15:03:46.004	7.086	19.185	42.972	163	0	OK	22/08/2023	15:03:45.922	7.004	20.205	21.982	288	1	OK	22/08/2023	15:03:45.922	7.004	20.395	OK	22/08/2023	15:03:45.922	7.004	1019	OK	22/08/2023	15:03:45.201	6.283	23.329	42.849	189	1	OK	22/08/2023	15:03:46.396	7.478	20.395	OK			
22/08/2023	15:03:47.426	8.508	19.641	22.139	173	1	OK	22/08/2023	15:03:47.426	8.508	20.396	OK	22/08/2023	15:03:47.426	8.508	1019	OK	22/08/2023	15:03:47.006	8.089	19.185	42.972	163	1	OK	22/08/2023	15:03:46.923	8.005	20.198	21.986	288	1	OK	22/08/2023	15:03:46.923	8.005	20.396	OK	22/08/2023	15:03:46.923	8.005	1019	OK	22/08/2023	15:03:46.201	7.284	23.32	42.851	189	1	OK	22/08/2023	15:03:47.411	8.493	20.396	OK			
22/08/2023	15:03:48.413	9.496	19.657	22.129	173	0	OK	22/08/2023	15:03:48.413	9.496	20.397	OK	22/08/2023	15:03:48.413	9.496	1019	OK	22/08/2023	15:03:48.004	9.087	19.19	42.971	163	1	OK	22/08/2023	15:03:47.922	9.004	20.21	21.979	288	1	OK	22/08/2023	15:03:47.922	9.004	20.396	OK	22/08/2023	15:03:47.922	9.004	1019	OK	22/08/2023	15:03:47.217	8.299	23.324	42.85	189	1	OK	22/08/2023	15:03:48.397	9.479	20.397	OK			
