Date_[A_Ch.1_Main]	Time_[A_Ch.1_Main]	_dt_(s)_[A_Ch.1_Main]	Oxygen_(%O2)_[A_Ch.1_Main]	dphi_(°)_[A_Ch.1_Main]	Signal_Intensity_(mV)_[A_Ch.1_Main]	Ambient_Light_(mV)_[A_Ch.1_Main]	Status_[A_Ch.1_Main]	Date_[A_Ch.1_CompT]	Time_[A_Ch.1_CompT]	_dt_(s)_[A_Ch.1_CompT]	Sample_Temp._(°C)_[A_Ch.1_CompT]	Status_[A_Ch.1_CompT]	Date_[A_Ch.1_CompP]	Time_[A_Ch.1_CompP]	_dt_(s)_[A_Ch.1_CompP]	Pressure_(mbar)_[A_Ch.1_CompP]	Status_[A_Ch.1_CompP]	Date_[A_Ch.2_Main]	Time_[A_Ch.2_Main]	_dt_(s)_[A_Ch.2_Main]	Optical_Temp._(°C)_[A_Ch.2_Main]	dphi_(°)_[A_Ch.2_Main]	Signal_Intensity_(mV)_[A_Ch.2_Main]	Ambient_Light_(mV)_[A_Ch.2_Main]	Status_[A_Ch.2_Main]	Date_[A_Ch.3_Main]	Time_[A_Ch.3_Main]	_dt_(s)_[A_Ch.3_Main]	Oxygen_(%O2)_[A_Ch.3_Main]	dphi_(°)_[A_Ch.3_Main]	Signal_Intensity_(mV)_[A_Ch.3_Main]	Ambient_Light_(mV)_[A_Ch.3_Main]	Status_[A_Ch.3_Main]	Date_[A_Ch.3_CompT]	Time_[A_Ch.3_CompT]	_dt_(s)_[A_Ch.3_CompT]	Sample_Temp._(°C)_[A_Ch.3_CompT]	Status_[A_Ch.3_CompT]	Date_[A_Ch.3_CompP]	Time_[A_Ch.3_CompP]	_dt_(s)_[A_Ch.3_CompP]	Pressure_(mbar)_[A_Ch.3_CompP]	Status_[A_Ch.3_CompP]	Date_[A_Ch.4_Main]	Time_[A_Ch.4_Main]	_dt_(s)_[A_Ch.4_Main]	Optical_Temp._(°C)_[A_Ch.4_Main]	dphi_(°)_[A_Ch.4_Main]	Signal_Intensity_(mV)_[A_Ch.4_Main]	Ambient_Light_(mV)_[A_Ch.4_Main]	Status_[A_Ch.4_Main]	Date_[A_T1]	Time_[A_T1]	_dt_(s)_[A_T1]	Sample_Temp._(°C)_[A_T1]	Status_[A_T1]	Date_[Comment]	Time_[Comment]	Comment
31/08/2023	13:36:13.494	0.514	19.19	22.525	230	1	OK	31/08/2023	13:36:13.494	0.514	19.546	OK	31/08/2023	13:36:13.494	0.514	1017	OK	31/08/2023	13:36:12.998	0.018	19.022	43.006	204	1	OK	31/08/2023	13:36:13.407	0.427	20.065	22.177	266	1	OK	31/08/2023	13:36:13.407	0.427	19.546	OK	31/08/2023	13:36:13.407	0.427	1018	OK	31/08/2023	13:36:13.193	0.213	22.737	42.972	215	1	OK	31/08/2023	13:36:13.393	0.414	19.547	OK			
31/08/2023	13:36:14.485	1.505	19.19	22.525	230	1	OK	31/08/2023	13:36:14.485	1.505	19.543	OK	31/08/2023	13:36:14.485	1.505	1017	OK	31/08/2023	13:36:14.012	1.032	19.065	42.997	205	1	OK	31/08/2023	13:36:14.401	1.421	20.064	22.179	266	1	OK	31/08/2023	13:36:14.401	1.421	19.543	OK	31/08/2023	13:36:14.401	1.421	1017	OK	31/08/2023	13:36:14.206	1.226	22.766	42.966	215	1	OK	31/08/2023	13:36:13.997	1.017	19.546	OK			
31/08/2023	13:36:15.497	2.517	19.188	22.527	230	1	OK	31/08/2023	13:36:15.497	2.517	19.54	OK	31/08/2023	13:36:15.497	2.517	1017	OK	31/08/2023	13:36:15.000	2.02	19.065	42.997	205	1	OK	31/08/2023	13:36:15.410	2.43	20.074	22.174	266	1	OK	31/08/2023	13:36:15.410	2.43	19.54	OK	31/08/2023	13:36:15.410	2.43	1017	OK	31/08/2023	13:36:15.212	2.233	22.737	42.972	215	1	OK	31/08/2023	13:36:15.197	2.217	19.54	OK			
31/08/2023	13:36:16.493	3.513	19.195	22.523	230	1	OK	31/08/2023	13:36:16.493	3.513	19.536	OK	31/08/2023	13:36:16.493	3.513	1017	OK	31/08/2023	13:36:15.999	3.019	19.041	43.002	205	1	OK	31/08/2023	13:36:16.407	3.427	20.066	22.178	266	2	OK	31/08/2023	13:36:16.407	3.427	19.537	OK	31/08/2023	13:36:16.407	3.427	1017	OK	31/08/2023	13:36:16.213	3.233	22.761	42.967	215	1	OK	31/08/2023	13:36:16.195	3.215	19.538	OK			
31/08/2023	13:36:17.488	4.508	19.183	22.531	230	1	OK	31/08/2023	13:36:17.488	4.508	19.533	OK	31/08/2023	13:36:17.488	4.508	1017	OK	31/08/2023	13:36:16.999	4.019	19.022	43.006	205	1	OK	31/08/2023	13:36:17.402	4.422	20.065	22.179	266	1	OK	31/08/2023	13:36:17.402	4.422	19.534	OK	31/08/2023	13:36:17.402	4.422	1017	OK	31/08/2023	13:36:17.208	4.229	22.747	42.97	215	1	OK	31/08/2023	13:36:17.194	4.215	19.534	OK			
31/08/2023	13:36:18.489	5.509	19.189	22.527	230	1	OK	31/08/2023	13:36:18.489	5.509	19.53	OK	31/08/2023	13:36:18.489	5.509	1017	OK	31/08/2023	13:36:17.999	5.019	19.036	43.003	205	1	OK	31/08/2023	13:36:18.404	5.425	20.078	22.172	266	1	OK	31/08/2023	13:36:18.404	5.425	19.532	OK	31/08/2023	13:36:18.404	5.425	1017	OK	31/08/2023	13:36:18.209	5.229	22.751	42.969	215	1	OK	31/08/2023	13:36:18.195	5.215	19.533	OK			
31/08/2023	13:36:19.489	6.51	19.175	22.536	230	1	OK	31/08/2023	13:36:19.489	6.51	19.53	OK	31/08/2023	13:36:19.489	6.51	1017	OK	31/08/2023	13:36:18.999	6.019	19.036	43.003	205	1	OK	31/08/2023	13:36:19.405	6.425	20.068	22.178	266	1	OK	31/08/2023	13:36:19.405	6.425	19.53	OK	31/08/2023	13:36:19.405	6.425	1017	OK	31/08/2023	13:36:19.210	6.23	22.732	42.973	215	1	OK	31/08/2023	13:36:19.194	6.215	19.53	OK			
31/08/2023	13:36:20.506	7.526	19.183	22.532	231	1	OK	31/08/2023	13:36:20.506	7.526	19.531	OK	31/08/2023	13:36:20.506	7.526	1017	OK	31/08/2023	13:36:19.999	7.019	19.031	43.004	205	1	OK	31/08/2023	13:36:20.406	7.426	20.064	22.179	266	2	OK	31/08/2023	13:36:20.406	7.426	19.531	OK	31/08/2023	13:36:20.406	7.426	1018	OK	31/08/2023	13:36:20.210	7.23	22.751	42.969	215	1	OK	31/08/2023	13:36:20.195	7.215	19.531	OK			
31/08/2023	13:36:21.494	8.514	19.166	22.541	231	1	OK	31/08/2023	13:36:21.494	8.514	19.531	OK	31/08/2023	13:36:21.494	8.514	1017	OK	31/08/2023	13:36:20.998	8.019	19.036	43.003	205	1	OK	31/08/2023	13:36:21.408	8.428	20.068	22.178	266	2	OK	31/08/2023	13:36:21.408	8.428	19.531	OK	31/08/2023	13:36:21.408	8.428	1017	OK	31/08/2023	13:36:21.214	8.234	22.766	42.966	215	1	OK	31/08/2023	13:36:21.193	8.214	19.531	OK			
31/08/2023	13:36:22.491	9.511	19.154	22.548	231	1	OK	31/08/2023	13:36:22.491	9.511	19.533	OK	31/08/2023	13:36:22.491	9.511	1017	OK	31/08/2023	13:36:21.998	9.019	19.06	42.998	205	1	OK	31/08/2023	13:36:22.407	9.427	20.069	22.177	266	2	OK	31/08/2023	13:36:22.407	9.427	19.533	OK	31/08/2023	13:36:22.407	9.427	1017	OK	31/08/2023	13:36:22.214	9.234	22.771	42.965	215	1	OK	31/08/2023	13:36:22.197	9.217	19.533	OK			
31/08/2023	13:36:23.487	10.508	19.158	22.546	231	1	OK	31/08/2023	13:36:23.487	10.508	19.531	OK	31/08/2023	13:36:23.487	10.508	1017	OK	31/08/2023	13:36:22.998	10.019	19.041	43.002	205	1	OK	31/08/2023	13:36:23.402	10.422	20.061	22.182	266	1	OK	31/08/2023	13:36:23.402	10.422	19.531	OK	31/08/2023	13:36:23.402	10.422	1017	OK	31/08/2023	13:36:23.208	10.228	22.78	42.963	215	1	OK	31/08/2023	13:36:23.195	10.215	19.533	OK			
31/08/2023	13:36:24.493	11.514	19.143	22.556	231	1	OK	31/08/2023	13:36:24.493	11.514	19.528	OK	31/08/2023	13:36:24.493	11.514	1017	OK	31/08/2023	13:36:24.001	11.022	19.012	43.008	205	1	OK	31/08/2023	13:36:24.410	11.43	20.051	22.188	266	1	OK	31/08/2023	13:36:24.410	11.43	19.528	OK	31/08/2023	13:36:24.410	11.43	1017	OK	31/08/2023	13:36:24.213	11.234	22.747	42.97	215	1	OK	31/08/2023	13:36:24.196	11.216	19.528	OK			
